 

stn;time;tre200s0
GRA;202305140220;8.3
GRA;202305140230;8.3
GRA;202305140240;8.3
GRA;202305140250;8.2
GRA;202305140300;8.2
GRA;202305140310;8.3
GRA;202305140320;8.3
GRA;202305140330;8.3
GRA;202305140340;8.2
GRA;202305140350;8.3
GRA;202305140400;8.4
GRA;202305140410;8.4
GRA;202305140420;8.5
GRA;202305140430;8.5
GRA;202305140440;8.5
GRA;202305140450;8.5
GRA;202305140500;8.5
GRA;202305140510;8.5
GRA;202305140520;8.5
GRA;202305140530;8.6
GRA;202305140540;8.7
GRA;202305140550;8.8
GRA;202305140600;8.9
GRA;202305140610;9.0
GRA;202305140620;9.3
GRA;202305140630;9.5
GRA;202305140640;9.6
GRA;202305140650;9.7
GRA;202305140700;9.8
GRA;202305140710;10.0
GRA;202305140720;10.0
GRA;202305140730;10.1
GRA;202305140740;10.1
GRA;202305140750;10.3
GRA;202305140800;11.0
GRA;202305140810;11.7
GRA;202305140820;11.9
GRA;202305140830;12.2
GRA;202305140840;12.1
GRA;202305140850;12.2
GRA;202305140900;12.9
GRA;202305140910;12.7
GRA;202305140920;12.7
GRA;202305140930;12.4
GRA;202305140940;12.3
GRA;202305140950;12.6
GRA;202305141000;13.2
GRA;202305141010;13.5
GRA;202305141020;13.2
GRA;202305141030;13.5
GRA;202305141040;14.1
GRA;202305141050;14.0
GRA;202305141100;13.6
GRA;202305141110;13.9
GRA;202305141120;14.6
GRA;202305141130;14.0
GRA;202305141140;13.3
GRA;202305141150;13.2
GRA;202305141200;13.3
GRA;202305141210;13.5
GRA;202305141220;13.6
GRA;202305141230;13.9
GRA;202305141240;14.1
GRA;202305141250;14.1
GRA;202305141300;14.5
GRA;202305141310;14.4
GRA;202305141320;14.8
GRA;202305141330;14.4
GRA;202305141340;13.9
GRA;202305141350;14.1
GRA;202305141400;14.1
GRA;202305141410;14.2
GRA;202305141420;15.0
GRA;202305141430;14.0
GRA;202305141440;13.5
GRA;202305141450;14.5
GRA;202305141500;14.9
GRA;202305141510;14.6
GRA;202305141520;13.5
GRA;202305141530;13.2
GRA;202305141540;13.3
GRA;202305141550;13.9
GRA;202305141600;14.1
GRA;202305141610;13.7
GRA;202305141620;13.3
GRA;202305141630;12.5
GRA;202305141640;11.5
GRA;202305141650;10.9
GRA;202305141700;10.9
GRA;202305141710;11.2
GRA;202305141720;11.2
GRA;202305141730;11.4
GRA;202305141740;11.6
GRA;202305141750;11.7
GRA;202305141800;11.4
GRA;202305141810;10.7
GRA;202305141820;10.3
GRA;202305141830;10.0
GRA;202305141840;9.8
GRA;202305141850;9.6
GRA;202305141900;9.6
GRA;202305141910;9.6
GRA;202305141920;9.6
GRA;202305141930;9.6
GRA;202305141940;9.5
GRA;202305141950;9.4
GRA;202305142000;9.4
GRA;202305142010;9.4
GRA;202305142020;9.4
GRA;202305142030;9.5
GRA;202305142040;9.3
GRA;202305142050;9.4
GRA;202305142100;9.3
GRA;202305142110;9.2
GRA;202305142120;9.1
GRA;202305142130;9.1
GRA;202305142140;9.2
GRA;202305142150;9.1
GRA;202305142200;9.2
GRA;202305142210;9.0
GRA;202305142220;8.8
GRA;202305142230;9.1
GRA;202305142240;9.4
GRA;202305142250;9.3
GRA;202305142300;9.3
GRA;202305142310;9.3
GRA;202305142320;9.2
GRA;202305142330;9.1
GRA;202305142340;9.1
GRA;202305142350;9.1
GRA;202305150000;9.2
GRA;202305150010;9.2
GRA;202305150020;9.1
GRA;202305150030;9.1
GRA;202305150040;9.1
GRA;202305150050;9.0
GRA;202305150100;9.1
GRA;202305150110;9.2
GRA;202305150120;9.1
GRA;202305150130;9.0
GRA;202305150140;8.7
GRA;202305150150;8.7
GRA;202305150200;8.7
GRA;202305150210;8.7
GRA;202305150220;8.7
GRA;202305150230;8.7
GRA;202305150240;8.6
GRA;202305150250;8.7
GRA;202305150300;8.9
GRA;202305150310;8.9
GRA;202305150320;8.7
GRA;202305150330;8.7
GRA;202305150340;8.8
GRA;202305150350;8.9
GRA;202305150400;8.9
GRA;202305150410;9.0
GRA;202305150420;8.8
GRA;202305150430;8.9
GRA;202305150440;8.9
GRA;202305150450;9.0
GRA;202305150500;9.1
GRA;202305150510;9.1
GRA;202305150520;9.1
GRA;202305150530;9.1
GRA;202305150540;9.1
GRA;202305150550;9.2
GRA;202305150600;9.4
GRA;202305150610;9.6
GRA;202305150620;9.6
GRA;202305150630;9.8
GRA;202305150640;10.0
GRA;202305150650;10.1
GRA;202305150700;10.2
GRA;202305150710;10.3
GRA;202305150720;10.6
GRA;202305150730;10.9
GRA;202305150740;11.4
GRA;202305150750;11.8
GRA;202305150800;11.8
GRA;202305150810;12.4
GRA;202305150820;12.7
GRA;202305150830;12.7
GRA;202305150840;13.3
GRA;202305150850;12.6
GRA;202305150900;12.1
GRA;202305150910;11.9
GRA;202305150920;12.1
GRA;202305150930;12.4
GRA;202305150940;12.4
GRA;202305150950;12.1
GRA;202305151000;12.4
GRA;202305151010;12.9
GRA;202305151020;13.3
GRA;202305151030;13.7
GRA;202305151040;14.3
GRA;202305151050;13.4
GRA;202305151100;13.3
GRA;202305151110;13.4
GRA;202305151120;14.1
GRA;202305151130;15.0
GRA;202305151140;14.5
GRA;202305151150;14.1
GRA;202305151200;13.1
GRA;202305151210;11.7
GRA;202305151220;11.3
GRA;202305151230;10.6
GRA;202305151240;10.7
GRA;202305151250;11.3
GRA;202305151300;11.6
GRA;202305151310;11.8
GRA;202305151320;12.2
GRA;202305151330;12.6
GRA;202305151340;13.0
GRA;202305151350;12.6
GRA;202305151400;12.3
GRA;202305151410;12.0
GRA;202305151420;11.9
GRA;202305151430;12.0
GRA;202305151440;12.2
GRA;202305151450;12.5
GRA;202305151500;12.9
GRA;202305151510;12.7
GRA;202305151520;12.3
GRA;202305151530;11.9
GRA;202305151540;11.6
GRA;202305151550;11.6
GRA;202305151600;11.7
GRA;202305151610;12.0
GRA;202305151620;12.1
GRA;202305151630;12.1
GRA;202305151640;12.0
GRA;202305151650;12.0
GRA;202305151700;11.9
GRA;202305151710;11.8
GRA;202305151720;11.8
GRA;202305151730;11.8
GRA;202305151740;11.7
GRA;202305151750;11.8
GRA;202305151800;11.7
GRA;202305151810;11.5
GRA;202305151820;11.5
GRA;202305151830;11.4
GRA;202305151840;11.4
GRA;202305151850;11.4
GRA;202305151900;11.3
GRA;202305151910;11.3
GRA;202305151920;11.2
GRA;202305151930;11.1
GRA;202305151940;10.7
GRA;202305151950;10.5
GRA;202305152000;10.3
GRA;202305152010;9.9
GRA;202305152020;9.9
GRA;202305152030;9.9
GRA;202305152040;9.8
GRA;202305152050;10.1
GRA;202305152100;10.3
GRA;202305152110;10.4
GRA;202305152120;10.2
GRA;202305152130;10.1
GRA;202305152140;9.8
GRA;202305152150;9.5
GRA;202305152200;9.7
GRA;202305152210;9.6
GRA;202305152220;9.4
GRA;202305152230;9.1
GRA;202305152240;9.1
GRA;202305152250;9.1
GRA;202305152300;8.9
GRA;202305152310;9.2
GRA;202305152320;9.3
GRA;202305152330;9.4
GRA;202305152340;9.2
GRA;202305152350;9.1
GRA;202305160000;9.2
GRA;202305160010;9.3
GRA;202305160020;9.5
GRA;202305160030;9.5
GRA;202305160040;9.2
GRA;202305160050;9.3
GRA;202305160100;9.1
GRA;202305160110;8.9
GRA;202305160120;9.1
GRA;202305160130;9.1
GRA;202305160140;9.1
GRA;202305160150;9.0
GRA;202305160200;8.9
GRA;202305160210;9.0
GRA;202305160220;9.1
GRA;202305160230;8.8
GRA;202305160240;8.6
GRA;202305160250;8.6
GRA;202305160300;8.7
GRA;202305160310;8.8
GRA;202305160320;8.8
GRA;202305160330;8.7
GRA;202305160340;8.9
GRA;202305160350;8.9
GRA;202305160400;8.9
GRA;202305160410;8.9
GRA;202305160420;9.0
GRA;202305160430;8.9
GRA;202305160440;9.1
GRA;202305160450;9.1
GRA;202305160500;9.2
GRA;202305160510;9.3
GRA;202305160520;9.4
GRA;202305160530;9.6
GRA;202305160540;9.7
GRA;202305160550;9.8
GRA;202305160600;9.9
GRA;202305160610;10.2
GRA;202305160620;10.1
GRA;202305160630;10.2
GRA;202305160640;10.2
GRA;202305160650;10.1
GRA;202305160700;10.1
GRA;202305160710;10.2
GRA;202305160720;10.3
GRA;202305160730;10.4
GRA;202305160740;10.2
GRA;202305160750;10.2
GRA;202305160800;10.0
GRA;202305160810;10.0
GRA;202305160820;9.9
GRA;202305160830;9.6
GRA;202305160840;9.6
GRA;202305160850;9.7
GRA;202305160900;9.9
GRA;202305160910;10.4
GRA;202305160920;10.6
